outcome_sample,importance_type,rolling,qualified_sample,control_group,split_type,split_covar,split_value,category,outcome,normalize,method,event_time,estimate,sd,ci_low,ci_high
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-15,-0.0211800678399174,0.685874541137139,-1.36549416846871,1.32313403278888
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-14,-0.298870241537866,0.46159888336456,-1.2036040529324,0.605863569856671
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-13,0.514661409800112,0.356446429493882,-0.183973592007897,1.21329641160812
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-12,0.11478850231685,0.29492328219803,-0.46326113079129,0.69283813542499
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-11,0.371131016617395,0.278281529273304,-0.174300780758281,0.916562813993071
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-10,0.523723254450496,0.282117634363542,-0.0292273089020466,1.07667381780304
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-9,0.627994162202721,0.314347476970613,0.0118731073403184,1.24411521706512
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-8,0.473249775058667,0.279789685126269,-0.07513800778882,1.02163755790616
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-7,0.475424348015122,0.260706394475421,-0.0355601851567035,0.986408881186947
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-6,0.416815002062748,0.229800134079527,-0.0335932607331242,0.86722326485862
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-5,0.174353529506887,0.15755974135155,-0.134463563542151,0.483170622555925
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-4,0.132795632097333,0.114860144505573,-0.0923302511335891,0.357921515328256
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-3,0.0830774287587315,0.0918165032534619,-0.0968829176180538,0.263037775135517
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-2,0.297798453044611,0.0773597977453071,0.146173249463809,0.449423656625413
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-1,0,0,0,0
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,0,-0.0759275059212212,0.133962617833454,-0.338494236874792,0.186639225032349
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,1,-0.661580502122569,0.201836967312652,-1.05718095805537,-0.265980046189771
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,2,-0.785422674082326,0.29658017261819,-1.36671981241398,-0.204125535750674
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,3,-0.915559389650867,0.44061232645601,-1.77915954950465,-0.0519592297970869
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,4,-1.07940789926774,0.655212014958733,-2.36362344858686,0.204807650051375
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,5,-1.25667783965626,0.771505817935146,-2.76882924280914,0.25547356349663
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,6,-1.30213495149123,0.865964082998204,-2.99942455416771,0.395154651185252
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,7,-1.47577932188303,1.00594850754767,-3.44743839667647,0.495879752910408
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,8,-1.55650308193077,1.03895947697579,-3.59286365680333,0.479857492941782
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,9,-1.811289894822,1.14785193004052,-4.06107967770142,0.438499888057426
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,10,-2.00588620466589,1.24948237697373,-4.45487166353439,0.443099254202616
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,11,-2.16804093552304,1.15107206391957,-4.42414218080539,0.0880603097593111
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-15,2.96400794803101,4.05476652014372,-4.98333443145069,10.9113503275127
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-14,1.3312142013056,6.24861998840225,-10.9160809759628,13.578509378574
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-13,2.61211445076935,4.4608928558698,-6.13123554673547,11.3554644482742
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-12,1.2432645602658,3.50609649089027,-5.62868456187913,8.11521368241073
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-11,2.19359682296931,3.66880500883947,-4.99726099435605,9.38445464029467
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-10,3.37397201192072,3.32862914224068,-3.15014110687102,9.89808513071245
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-9,2.24425543432745,3.02914108064979,-3.69286108374614,8.18137195240105
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-8,2.57135007003224,2.72132137535426,-2.7624398256621,7.90513996572658
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-7,3.38315632231968,2.42813625061787,-1.37599072889136,8.14230337353071
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-6,2.91229563421105,2.17510783708895,-1.35091572648328,7.17550699490538
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-5,2.48831303794377,1.6879041394938,-0.819979075464081,5.79660515135162
opened_cohort,important_degree_top3,rolling5,exact_1_2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-4,2.71738577566681,1.40604638644414,-0.0384651417636981,5.47323669309732
