event_time,estimate,sd,ci_low,ci_high,dataset,category,outcome,normalize,method,covar,split_value
-17,0.4462478445441748,0.3765231833295996,-0.6449630601893499,1.5374587492776997,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-16,0.07834686442483921,0.2582036962483493,-0.6699594855245609,0.8266532143742392,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-15,0.34338727363172417,0.47263617968980554,-1.026371020368562,1.7131455676320106,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-14,0.0769840006844291,0.23600196695470108,-0.6069789829550054,0.7609469843238637,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-13,0.382114734571337,0.2796820259594716,-0.4284384799375878,1.1926679490802619,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-12,0.6825134104365427,0.504132256244234,-0.7785244214891109,2.1435512423621965,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-11,0.08744238833876311,0.4315556748943641,-1.1632595054464465,1.3381442821239729,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-10,-0.13876461858023673,0.3738772009328534,-1.2223071380113486,0.9447779008508752,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-9,0.36816312372389365,0.2830067447427004,-0.4520255383538884,1.1883517858016757,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-8,-0.1120989298335865,0.358790864912735,-1.1519193755478814,0.9277215158807083,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-7,0.31320948329810994,0.20446793801520294,-0.2793639716948483,0.9057829382910682,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-6,-0.4900582155980113,0.17828484924176882,-1.0067498304967657,0.026633399300743155,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-5,0.16526041598878044,0.18572736450500466,-0.3730005316189759,0.7035213635965367,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-4,0.061410117110251426,0.08519872340415975,-0.18550635487392098,0.30832658909442384,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-3,-0.10296808738508766,0.08269491597632578,-0.34262821476799404,0.13669203999781876,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-2,0.1204827831520723,0.07508719488247612,-0.09712922452577742,0.338094790829922,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-1,-0.20282668752832966,0.08333219714278825,-0.44433373480624927,0.03868035974958994,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
0,-0.041517928529730894,0.12093674464881247,-0.3920076204970822,0.3089717634376204,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
1,-0.6391960797842038,0.1812129729196344,-1.1643737604264808,-0.1140183991419268,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
2,-0.7034608141144263,0.13538917432136732,-1.095835440547502,-0.3110861876813506,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
3,-0.804617634826513,0.14486751683501203,-1.2244616739481418,-0.38477359570488434,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
4,-0.9966866283384829,0.15960363194021765,-1.4592377575096838,-0.534135499167282,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
5,-0.9839382972130433,0.22438744571483413,-1.6342409571557361,-0.3336356372703504,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
6,-0.8118415104949539,0.28573238858191663,-1.6399294266199136,0.01624640563000579,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
7,-0.8140737929859285,0.32822946670798,-1.7653235146082107,0.13717592863635364,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
8,-0.7556198053893708,0.4478799610403213,-2.053631505962402,0.5423918951836604,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
9,-1.0707047240535799,0.5329006426484985,-2.6151169093943882,0.4737074612872285,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
10,-0.5421871639890706,1.2934492453615878,-4.290763569767473,3.206389241789332,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
11,-0.2858764857022075,1.631296399993941,-5.01357586608188,4.441822894677466,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
12,-1.3542264290642958,0.35049793611548835,-2.3700129381277026,-0.33843992000088874,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
13,-1.7093626445696166,0.5609346066218232,-3.3350207359927073,-0.08370455314652592,important_thresh,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-18,-1.3064938264482875,0.44394004922413655,-2.176616322927595,-0.43637132996897987,important_thresh,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
-17,-1.0497351861317925,0.3108478608494493,-1.658996993396713,-0.4404733788668719,important_thresh,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
-16,-1.2495064487317271,0.34749968369564044,-1.9306058287751824,-0.5684070686882718,important_thresh,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
-15,-0.7506693689417135,0.35014459227362144,-1.4369527697980116,-0.06438596808541552,important_thresh,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
-14,-0.8510485183007613,0.3253169698764436,-1.4886697792585908,-0.2134272573429319,important_thresh,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
-13,-0.25521678885514054,0.3410099885064188,-0.9235963663277214,0.41316278861744027,important_thresh,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
-12,0.2962032180907787,0.45530800471832744,-0.5962004711571431,1.1886069073387004,important_thresh,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
-11,0.18974765829783236,0.2507495985075862,-0.3017215547770366,0.6812168713727014,important_thresh,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
-10,0.03912445303776052,0.24098744089184218,-0.43321093111025016,0.5114598371857713,important_thresh,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
-9,0.28515012008398827,0.33055437069095633,-0.3627364464702862,0.9330366866382627,important_thresh,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
-8,0.09747332914856655,0.2522771451226727,-0.3969898752918719,0.591936533589005,important_thresh,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
-7,0.504476483049936,0.226967836115097,0.05961952426434586,0.9493334418355261,important_thresh,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
-6,0.008713913024678041,0.17185382622064957,-0.3281195863677951,0.3455474124171512,important_thresh,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
-5,0.17929191910655046,0.10929257872184268,-0.03492153518826119,0.3935053734013621,important_thresh,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
