importance_type,rolling,qualified_sample,control_group,split_type,split_covar,split_value,category,outcome,normalize,method,event_time,estimate,sd,ci_low,ci_high
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-15,1.03133120447786,0.94563498083682,-0.822113357962304,2.88477576691803
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-14,0.245423648457425,0.609896242394289,-0.949972986635381,1.44082028355023
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-13,0.768310984742698,0.476610329009252,-0.165845260115436,1.70246722960083
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-12,0.547545849780143,0.394045733900002,-0.224783788663861,1.31987548822415
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-11,0.40059979827962,0.347194637386972,-0.279901690998845,1.08110128755809
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-10,0.620846822146408,0.380909353202931,-0.125735510131337,1.36742915442415
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-9,0.604467658665744,0.401158204496788,-0.18180242214796,1.39073773947945
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-8,0.591284639382021,0.381667584174895,-0.156783825600774,1.33935310436482
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-7,0.405702348753499,0.349498035637281,-0.279313801095572,1.09071849860257
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-6,0.267463873275312,0.308085697379998,-0.336384093589483,0.871311840140107
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-5,0.140767090721978,0.217048835009048,-0.284648625895756,0.566182807339711
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-4,0.149521774489904,0.157771008834039,-0.159709402824813,0.45875295180462
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-3,0.0617050062311056,0.120493318303073,-0.174461897642917,0.297871910105128
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-2,0.333237947170418,0.0984305902502603,0.140313990279908,0.526161904060928
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-1,0,0,0,0
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,0,-0.0693595009959781,0.18032879896147,-0.422803946960458,0.284084944968502
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,1,-0.620130701521498,0.2921608200585,-1.19276590883616,-0.0474954942068377
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,2,-0.796966757336479,0.427915152001789,-1.63568045525999,0.041746940587027
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,3,-0.977109640219776,0.64051075213195,-2.2325107143984,0.278291433958847
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,4,-1.28222589642967,0.93441640242993,-3.11368204519233,0.549230252332996
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,5,-1.25464750271898,1.11036724953556,-3.43096731180868,0.921672306370724
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,6,-1.47935738929728,1.24184630443119,-3.91337614598241,0.954661367387845
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,7,-1.8413019245253,1.43473287871843,-4.65337836681343,0.970774517762819
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,8,-2.00435339717771,1.47475875154613,-4.89488055020813,0.886173755852708
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,9,-2.498108627118,1.62212712473311,-5.67747779159491,0.681260537358899
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,10,-2.79093734330953,1.75598940923731,-6.23267658541465,0.650801898795591
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,11,-2.53869636955596,1.6500626813141,-5.77281922493161,0.695426485819685
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-15,23.332583947209,8.69921674670399,6.28211912366917,40.3830487707488
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-14,13.1119873735938,9.64121472523902,-5.7847934878747,32.0087682350623
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-13,13.9703929295617,9.4547671371335,-4.56095065922,32.5017365183433
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-12,12.7436813960601,8.17356348089555,-3.2765030264952,28.7638658186154
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-11,8.93655261344531,8.02658336928433,-6.79555079035199,24.6686560172426
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-10,10.1178586868817,8.16731792692466,-5.89008444989067,26.125801823654
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-9,9.5003975968662,7.41675043759918,-5.03643326082819,24.0372284545606
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-8,8.62693607579864,6.51450017842642,-4.14148427391715,21.3953564255144
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-7,7.18551029725102,5.40553054437264,-3.40932956971935,17.7803501642214
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-6,6.61125047879306,4.2313157623974,-1.68212841550586,14.904629373092
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-5,5.9604980724757,3.07190561651417,-0.0604369358920689,11.9814330808435
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-4,6.13937597587615,2.58343318145872,1.07584694021706,11.2029050115352
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-3,4.21449408917694,2.26573656374698,-0.22634957576715,8.65533775412103
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-2,5.08353683250809,1.45335026710963,2.23497030897321,7.93210335604297
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,-1,0,0,0,0
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,0,-3.39276556429306,1.63416484421204,-6.59572865894866,-0.189802469637452
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,1,-6.68493099935045,3.39857021032246,-13.3461286115825,-0.0237333871184191
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,2,-10.2103684246892,4.92550402819037,-19.8643563199423,-0.556380529436099
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,3,-12.5525205339342,6.41111978477182,-25.1183153120869,0.0132742442185982
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,4,-14.567101378569,8.06670342824283,-30.3778400979249,1.24363734078694
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,5,-13.7178755101595,9.08172434618401,-31.5180552286802,4.08230420836115
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,6,-16.4115400427469,10.6318449381329,-37.2499561214874,4.42687603599369
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,7,-14.9476104244642,11.997591008439,-38.4628888010047,8.56766795207625
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,8,-13.3968270303092,12.8090319293909,-38.5025296119153,11.7088755512969
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,9,-16.1448958571693,13.3942676403631,-42.3976604322809,10.1078687179423
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,10,-22.6566314634796,13.1586375941424,-48.4475611479988,3.13429822103953
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,FALSE,sa,11,-22.2111690967406,15.2942411402223,-52.1878817315763,7.76554353809502
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_merged,TRUE,sa,-15,0.727291380563724,0.457719465593534,-0.169838771999602,1.62442153312705
important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_merged,TRUE,sa,-14,0.343640111575931,0.485501129219816,-0.607942101694908,1.29522232484677
