time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-07,top_k,3,degree_centrality_z,3,"[6686071, 36993291, 42549861]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[6686071],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[6686071, 42549861, 80713360]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[6686071],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,5,"[6686071, 42549861, 43414125, 80713360, 92873957]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[6686071],0,[],0,[],2,
