time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-01,top_k,3,degree_centrality_z,5,"[2406189, 2847802, 7865090, 33632497, 34255413]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[34255413],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[1214161, 2847802, 34255413, 89490472]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[2847802, 34255413]",0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[52649, 2406189, 8978835]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[2406189],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,6,"[52649, 1214161, 2406189, 6160205, 8978835, 36571713]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[2406189],0,[],0,[],2,
