time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-01,top_k,3,degree_centrality_z,4,"[272885, 27856297, 49699333, 65553080]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[27856297],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[272885, 8655789, 39514782, 49699333, 65553080]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[39514782, 49699333]",0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[272885, 8655789, 39514782, 49699333, 65553080]",3,"[272885, 49699333, 65553080]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[39514782, 49699333]",0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[272885, 39514782, 65553080]",3,"[272885, 39514782, 65553080]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,3,"[272885, 39514782, 65553080]",1,[39514782],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[272885, 39514782, 49699333]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,3,"[272885, 39514782, 49699333]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[272885, 39514782, 65553080]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[39514782],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[272885, 39514782, 49699333, 65553080]",2,"[272885, 39514782]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[39514782, 65553080]",1,[39514782],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[39514782, 49699333, 65553080]",2,"[39514782, 65553080]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[39514782],1,[39514782],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[272885, 39514782, 49699333, 65553080]",3,"[39514782, 49699333, 65553080]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[272885, 39514782]",1,[39514782],0,[],2,
