time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-07,top_k,3,degree_centrality_z,3,"[609896, 1337586, 22429695]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[42327, 609896, 22429695]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[609896],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[609896, 1337586, 4316136, 22429695]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[609896],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[42327, 1337586, 22429695]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[42327],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[130003, 8453732, 11260241, 13833860, 22429695, 40616000]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[8453732, 40616000]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[8453732, 13833860, 40616000, 52022020]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[40616000, 52022020]",0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[413772, 1337586, 8453732]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[413772],0,[],0,[],2,
