time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-01,top_k,3,degree_centrality_z,3,"[1614333, 1735164, 4673461]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[1735164],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[488630, 1735164, 1850742, 4673461]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[4673461],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,5,"[488630, 1017508, 4673461, 4673661, 8655789]",1,[4673461],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[1017508],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[1735164, 4673461, 8655789]",1,[4673461],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[1735164],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[4673461, 4673661, 8655789]",2,"[4673461, 8655789]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[4673461],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[1735164, 4673461, 4673661, 8655789]",2,"[4673461, 8655789]",1,[8655789],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[1735164, 4673461]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[733326, 1735164, 4673461, 22429695]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[160613, 1735164, 4673461, 4673661, 22429695]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[4673461, 22429695]",0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[1735164, 4673461, 4673661, 22429695]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[1735164, 4673461, 22429695, 55168651]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[4673461],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[1735164, 4673461, 22429695]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[4673461],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[1735164, 4673461, 4673661, 22429695]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[1735164],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[1735164, 4673461, 4673661, 22429695]",3,"[1735164, 4673461, 22429695]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[1735164, 4673461]",0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[1140686, 1735164, 4673461, 22429695]",3,"[1735164, 4673461, 22429695]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[4673461],0,[],0,[],2,
