time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-07,top_k,3,degree_centrality_z,4,"[141122, 662249, 2747234, 9301624]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[141122, 662249]",0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[141122, 662249, 9301624]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[141122],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[141122, 2747234, 5801423, 64630542]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[141122],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[141122, 2967461, 9301624, 10044274, 75708014]",1,[141122],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[141122],1,[141122],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[141122, 827416, 2747234]",1,[141122],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[141122],1,[141122],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[141122, 441950, 2734516, 15137352, 75708014]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[2734516],0,[],0,[],2,
