time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2023-01,top_k,3,degree_centrality_z,3,"[28149841, 37798125, 65553080]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[37798125],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[37798125, 49699333, 65553080, 66853113]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[37798125, 65553080]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[37798125, 49699333, 65553080]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[37798125],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[37798125, 65553080, 92810346]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,3,"[37798125, 65553080, 92810346]",0,[],0,[],2,
