time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-07,top_k,3,degree_centrality_z,5,"[651988, 2647934, 5367102, 6745454, 18718008]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[651988],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,5,"[651988, 5367102, 6745454, 18718008, 36171005]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[5367102, 18718008]",0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[651988, 18718008, 36171005, 65553080]",2,"[651988, 18718008]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[65553080],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[651988, 6745454, 18718008, 65553080]",2,"[651988, 18718008]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[651988],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[651988, 5367102, 65553080]",2,"[651988, 65553080]",1,[65553080],,3
2023-07,z_thresh,3,degree_centrality_z,1,[651988],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[2206639, 3659196, 11387611, 18718008]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[18718008],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[1021468, 2308172, 3659196, 18718008, 66853113]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[18718008],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[3659196, 18718008, 49699333]",2,"[3659196, 18718008]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[18718008],1,[18718008],0,[],2,
