time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-07,top_k,3,degree_centrality_z,4,"[485186, 1882046, 3015475, 4402489]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[1882046, 4402489]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[1882046, 3015475, 4402489]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[1882046],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[485186, 1882046, 3015475]",2,"[1882046, 3015475]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[1882046],1,[1882046],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[90008, 1882046, 3015475]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[1882046],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,5,"[710771, 1882046, 3015475, 4402489, 8044566]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[1882046],0,[],0,[],2,
