time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-01,top_k,3,degree_centrality_z,4,"[5336, 661450, 4522995, 30377676]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[5336],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[5336, 661450, 41898282]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[661450, 41898282]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[5336, 661450, 41898282]",2,"[5336, 661450]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[661450],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[5336, 22480, 661450, 8990544, 41898282]",3,"[5336, 661450, 41898282]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[661450],1,[661450],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[5336, 661450, 126003767]",2,"[5336, 661450]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[661450],1,[661450],0,[],2,
2023-07,top_k,3,degree_centrality_z,5,"[5336, 661450, 35380458, 79757486, 126003767]",2,"[5336, 661450]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[126003767],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[661450, 35380458, 126003767]",2,"[661450, 126003767]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[661450, 126003767]",0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[661450, 35380458, 126003767]",3,"[661450, 35380458, 126003767]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,3,"[661450, 35380458, 126003767]",1,[126003767],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[661450, 48453825, 126003767]",2,"[661450, 126003767]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[661450, 126003767]",2,"[661450, 126003767]",0,[],2,
