time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-01,top_k,3,degree_centrality_z,3,"[7353520, 28804797, 29988404]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[7353520],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[7353520, 22429695, 65737950]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[7353520],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[199429, 251545, 7353520, 22429695]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[7353520],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[7353520, 22429695, 41171860, 52263746]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[7353520],0,[],0,[],2,
