importance_type,rolling,qualified_sample,control_group,split_type,split_covar,split_value,category,outcome,normalize,method,event_time,estimate,sd,ci_low,ci_high
important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-15,-0.997725402881549,0.812780264280265,-2.59077472087087,0.59532391510777
important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-14,-0.486267723995521,0.677510060621427,-1.81418744281352,0.841651994822475
important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-13,1.00524929226806,0.522151611319626,-0.0181678659184097,2.02866645045452
important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-12,0.00153082687590397,0.359306685765106,-0.702710277223703,0.705771930975511
important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-11,0.765204528164798,0.494544739584491,-0.204103161420805,1.7345122177504
important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-10,0.619050750191181,0.393685229218968,-0.152572299077997,1.39067379946036
important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-9,0.861159428220801,0.45696247062035,-0.0344870141950852,1.75680587063669
important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-8,0.480201244562753,0.325857080615481,-0.15847863344359,1.1188811225691
important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-7,0.714505384040586,0.292700751641861,0.140811910822537,1.28819885725863
important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-6,0.643155795164544,0.238381490068701,0.175928074629891,1.1103835156992
important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-5,0.248325538002611,0.147430773390964,-0.0406387778436782,0.5372898538489
important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-4,0.198875640199914,0.134173989117733,-0.0641053784708419,0.46185665887067
important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-3,0.201445957227665,0.134530264141817,-0.0622333604902957,0.465125274945626
