File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/nebula-orchestrator___nebula-python-sdk.parquet

MD5 hash: 26a12b9e29110309d9ff1d14a076b553

Keys: time_period 

                                              type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                         datetime64[ns]      1  2020-07-01 00:00:00  2020-07-01 00:00:00  2020-07-01 00:00:00  2020-07-01 00:00:00  2020-07-01 00:00:00  2020-07-01 00:00:00    
avg_members_per_problem                    float64      1             1.030303             1.030303             1.030303             1.030303             1.030303             1.030303    
pct_members_multiple                       float64      1             0.030303             0.030303             0.030303             0.030303             0.030303             0.030303    
proj_hhi_discussion_comment                float64      1             0.767258             0.767258             0.767258             0.767258             0.767258             0.767258    
proj_hhi_pull_request_closed               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_comment              float64      1             0.767258             0.767258             0.767258             0.767258             0.767258             0.767258    
proj_hhi_pull_request_merged               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened               float64      1             0.926036             0.926036             0.926036             0.926036             0.926036             0.926036    
proj_hhi_pull_request_review               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_discussion_comment           float64      1             0.910256             0.910256             0.910256             0.910256             0.910256             0.910256    
proj_prob_hhi_pull_request_comment         float64      1             0.910256             0.910256             0.910256             0.910256             0.910256             0.910256    
proj_prob_hhi_pull_request_review          float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
num_active_members                           Int64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0    

