File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/gisce___markdown-blockdiag.parquet

MD5 hash: b85d9888d193c6afa248df4b3450d7b5

Keys: time_period 

                                                     type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                                datetime64[ns]      1  2017-01-01 00:00:00  2017-01-01 00:00:00  2017-01-01 00:00:00  2017-01-01 00:00:00  2017-01-01 00:00:00  2017-01-01 00:00:00    
avg_members_per_problem                           float64      1             1.714286             1.714286             1.714286             1.714286             1.714286             1.714286    
pct_members_multiple                              float64      1             0.714286             0.714286             0.714286             0.714286             0.714286             0.714286    
proj_hhi_discussion_comment                       float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_pull_request_closed                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_comment                     float64      1             0.504132             0.504132             0.504132             0.504132             0.504132             0.504132    
proj_hhi_pull_request_merged                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened                      float64      1             0.306122             0.306122             0.306122             0.306122             0.306122             0.306122    
proj_hhi_pull_request_review_comment              float64      1             0.555556             0.555556             0.555556             0.555556             0.555556             0.555556    
proj_prob_hhi_discussion_comment                  float64      1             0.642857             0.642857             0.642857             0.642857             0.642857             0.642857    
proj_prob_hhi_pull_request_comment                float64      1             0.757576             0.757576             0.757576             0.757576             0.757576             0.757576    
proj_prob_hhi_pull_request_review_comment         float64      1             0.555556             0.555556             0.555556             0.555556             0.555556             0.555556    
num_active_members                                  Int64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0    

