File: drive/output/derived/org_outcomes_practices/repo_discussion_quality/all/rolling5/yagami-cerberus___pysesame2.parquet

MD5 hash: 49c84cf215b7a42cc0d3164696ebfdb2

Keys: time_period 

                                                         type  count                 mean                  min                  25%                  50%                  75%                  max  std
time_period                                    datetime64[ns]      5  2019-12-31 19:12:00  2019-01-01 00:00:00  2019-07-01 00:00:00  2020-01-01 00:00:00  2020-07-01 00:00:00  2021-01-01 00:00:00     
response_rate                                         float64      1                 0.75                 0.75                 0.75                 0.75                 0.75                 0.75     
mean_days_to_respond                                  float64      1             1.677924             1.677924             1.677924             1.677924             1.677924             1.677924     
pos_sentiment_avg                                     float64      1              0.28195              0.28195              0.28195              0.28195              0.28195              0.28195     
neg_sentiment_avg                                     float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
ov_sentiment_avg                                      float64      1             0.321735             0.321735             0.321735             0.321735             0.321735             0.321735     
response_rate_pull_request_comment                    float64      1             0.666667             0.666667             0.666667             0.666667             0.666667             0.666667     
response_rate_pull_request_opened                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
mean_days_to_respond_pull_request_comment             float64      1             2.148999             2.148999             2.148999             2.148999             2.148999             2.148999     
mean_days_to_respond_pull_request_opened              float64      1             0.735775             0.735775             0.735775             0.735775             0.735775             0.735775     
mean_days_to_respond_to_last_comment                  float64      1             4.066331             4.066331             4.066331             4.066331             4.066331             4.066331     
pull_request_comment_pos_sentiment_avg                float64      1             0.418375             0.418375             0.418375             0.418375             0.418375             0.418375     
pull_request_comment_neg_sentiment_avg                float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_comment_ov_sentiment_avg                 float64      1             0.471288             0.471288             0.471288             0.471288             0.471288             0.471288     
pull_request_opened_pos_sentiment_avg                 float64      1               0.0091               0.0091               0.0091               0.0091               0.0091               0.0091     
pull_request_opened_neg_sentiment_avg                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_opened_ov_sentiment_avg                  float64      1              0.02263              0.02263              0.02263              0.02263              0.02263              0.02263     
avg_pull_request_comment_count                        float64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0     
avg_all_disc_count                                    float64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0     
avg_pull_request_comment_exclude_opener_count         float64      1                  2.0                  2.0                  2.0                  2.0                  2.0                  2.0     
avg_all_disc_exclude_opener_count                     float64      1                  2.0                  2.0                  2.0                  2.0                  2.0                  2.0     
clustering_coefficient                                float64      5                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0  0.0

