File: drive/output/derived/org_outcomes_practices/repo_discussion_quality/all/rolling5/mattjeanes___teslamateagil.parquet

MD5 hash: 391e92086d5c5eda6ef0cccb476a0833

Keys: time_period 

                                                                type  count                 mean                  min                  25%                  50%                  75%                  max  std
time_period                                           datetime64[ns]      5  2018-07-01 14:24:00  2017-07-01 00:00:00  2018-01-01 00:00:00  2018-07-01 00:00:00  2019-01-01 00:00:00  2019-07-01 00:00:00     
response_rate                                                float64      1             0.666667             0.666667             0.666667             0.666667             0.666667             0.666667     
mean_days_to_respond                                         float64      1             0.039988             0.039988             0.039988             0.039988             0.039988             0.039988     
pos_sentiment_avg                                            float64      1             0.160006             0.160006             0.160006             0.160006             0.160006             0.160006     
neg_sentiment_avg                                            float64      1             0.300239             0.300239             0.300239             0.300239             0.300239             0.300239     
ov_sentiment_avg                                             float64      1             0.035941             0.035941             0.035941             0.035941             0.035941             0.035941     
response_rate_pull_request_comment                           float64      1             0.527027             0.527027             0.527027             0.527027             0.527027             0.527027     
response_rate_pull_request_opened                            float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
response_rate_pull_request_review_comment                    float64      1             0.571429             0.571429             0.571429             0.571429             0.571429             0.571429     
mean_days_to_respond_pull_request_comment                    float64      1             0.018057             0.018057             0.018057             0.018057             0.018057             0.018057     
mean_days_to_respond_pull_request_opened                     float64      1             0.052184             0.052184             0.052184             0.052184             0.052184             0.052184     
mean_days_to_respond_pull_request_review_comment             float64      1             0.093537             0.093537             0.093537             0.093537             0.093537             0.093537     
mean_days_to_respond_to_last_comment                         float64      1             0.048815             0.048815             0.048815             0.048815             0.048815             0.048815     
pull_request_comment_pos_sentiment_avg                       float64      1             0.229365             0.229365             0.229365             0.229365             0.229365             0.229365     
pull_request_comment_neg_sentiment_avg                       float64      1             0.038624             0.038624             0.038624             0.038624             0.038624             0.038624     
pull_request_comment_ov_sentiment_avg                        float64      1              0.17526              0.17526              0.17526              0.17526              0.17526              0.17526     
pull_request_opened_pos_sentiment_avg                        float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_opened_neg_sentiment_avg                        float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
pull_request_opened_ov_sentiment_avg                         float64      1               -0.296               -0.296               -0.296               -0.296               -0.296               -0.296     
pull_request_review_comment_pos_sentiment_avg                float64      1             0.146123             0.146123             0.146123             0.146123             0.146123             0.146123     
pull_request_review_comment_neg_sentiment_avg                float64      1              0.05702              0.05702              0.05702              0.05702              0.05702              0.05702     
pull_request_review_comment_ov_sentiment_avg                 float64      1             0.040439             0.040439             0.040439             0.040439             0.040439             0.040439     
avg_pull_request_comment_count                               float64      1             2.914286             2.914286             2.914286             2.914286             2.914286             2.914286     
avg_pull_request_review_comment_count                        float64      1                  0.4                  0.4                  0.4                  0.4                  0.4                  0.4     
avg_all_disc_count                                           float64      1             3.314286             3.314286             3.314286             3.314286             3.314286             3.314286     
avg_pull_request_comment_exclude_opener_count                float64      1             2.257143             2.257143             2.257143             2.257143             2.257143             2.257143     
avg_pull_request_review_comment_exclude_opener_count         float64      1             0.228571             0.228571             0.228571             0.228571             0.228571             0.228571     
avg_all_disc_exclude_opener_count                            float64      1             2.485714             2.485714             2.485714             2.485714             2.485714             2.485714     
clustering_coefficient                                       float64      5             0.014314             0.014314             0.014314             0.014314             0.014314             0.014314  0.0

