event_time,estimate,sd,ci_low,ci_high,dataset,category,outcome,normalize,method,covar,split_value
-17,0.7580225760756475,0.32511093869805097,-0.17098446473901951,1.6870296168903145,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-16,0.04603296670787502,0.2813516978209056,-0.7579317022986582,0.8499976357144083,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-15,-0.05717573962265697,0.19541300239398968,-0.6155699167541634,0.5012184375088494,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-14,-0.32143799979346616,0.22987735045633445,-0.9783143200827031,0.33543832049577077,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-13,0.36139370036812657,0.1874520008479272,-0.1742518528079816,0.8970392535442347,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-12,0.319646686363396,0.19054790175357791,-0.22484542777596916,0.8641388005027612,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-11,-0.09058881543421476,0.1736638412439244,-0.5868345950951915,0.405656964226762,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-10,0.2209112204736538,0.1609459759340558,-0.23899315995813925,0.6808156009054469,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-9,0.0036398599880061878,0.1439433065879842,-0.40767926029105334,0.41495898026706574,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-8,-0.028795080398296174,0.14006817403556063,-0.4290409792111436,0.3714508184145513,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-7,0.11773905681924776,0.09597628602951754,-0.1565139284224287,0.3919920420609242,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-6,-0.10029457802467384,0.09628942618556648,-0.3754423637024607,0.17485320765311302,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-5,-0.1171685024552588,0.07903638365890418,-0.3430155846656965,0.10867857975517888,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-4,0.06443702765363526,0.03760709473597443,-0.043025538614406125,0.17189959392167664,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-3,-0.03726911460091653,0.03795494389130133,-0.14572566254098113,0.07118743333914808,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-2,0.19348687080469743,0.041835477206750314,0.07394166867598924,0.3130320729334056,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-1,-0.15365592317375754,0.04403386518751133,-0.27948303608882086,-0.027828810258694242,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
0,0.010967820626951952,0.07851178254602154,-0.2133802098153758,0.2353158510692797,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
1,-0.558362445517562,0.11655465558088492,-0.8914182821128864,-0.22530660892223753,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
2,-0.5021178991327924,0.15930072829992323,-0.957320971629166,-0.04691482663641883,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
3,-0.5946499556863479,0.18054559763356373,-1.1105604078580333,-0.07873950351466252,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
4,-0.6884038946911498,0.22987654202517607,-1.3452779048820518,-0.03152988450024774,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
5,-0.6939338555125909,0.24969814454283776,-1.4074482493610847,0.01958053833590301,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
6,-0.7537124108228361,0.3265477478996599,-1.6868251451276928,0.1794003234820204,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
7,-0.7489187668789584,0.3415812720012261,-1.7249899134554587,0.22715237969754198,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
8,-0.9261012308721948,0.35492229776496514,-1.9402944625309027,0.08809200078651314,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
9,-0.9002568729145435,0.3852030481944983,-2.000977584893792,0.20046383906470489,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
10,-0.8419939384998039,0.4781099593754176,-2.2081968731722084,0.5242089961726004,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
11,-0.6644405147173946,0.6092028061486897,-2.4052422806088183,1.0763612511740288,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
12,-1.0475030016214626,0.6980403128406403,-3.0421586351672536,0.9471526319243282,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
13,-2.5033657919597676,0.7059752197606213,-4.520695483863582,-0.4860361000559532,important_topk,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-18,-0.6900395253406089,0.3965386267869471,-1.4672552338430251,0.08717618316180753,important_topk,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
-17,0.23423280641282032,0.5745627682182948,-0.8919102192950374,1.360375832120678,important_topk,github_outcomes,pull_request_opened,TRUE,sa,NA,NA
